time,yaw,pitch,roll
2023-04-27 13:37:07.0840,3.746,19.181,10.918
2023-04-27 13:37:07.1860,4.713,5.514,-4.449
2023-04-27 13:37:07.2860,4.312,0.855,-8.628
2023-04-27 13:37:07.3870,2.483,-5.266,-16.354
2023-04-27 13:37:07.4880,1.257,-7.231,-21.103
2023-04-27 13:37:07.5880,-0.017,-8.646,-24.941
2023-04-27 13:37:07.6890,-0.483,-11.934,-19.837
2023-04-27 13:37:07.7900,-0.094,-17.816,-14.64
2023-04-27 13:37:07.8910,1.804,-19.23,-3.832
2023-04-27 13:37:07.9920,1.665,-19.682,0.848
2023-04-27 13:37:08.0930,1.32,-12.503,11.169
2023-04-27 13:37:08.1930,-1.24,-0.353,8.397
2023-04-27 13:37:08.2950,-2.687,5.832,7.469
2023-04-27 13:37:08.3960,-3.402,6.232,23.655
2023-04-27 13:37:08.4960,0.059,10.352,23.632
2023-04-27 13:37:08.5980,4.781,7.362,21.203
2023-04-27 13:37:08.6980,9.716,5.974,14.781
2023-04-27 13:37:08.7980,13.937,3.358,7.319
2023-04-27 13:37:08.8990,18.512,-0.729,10.111
2023-04-27 13:37:09.0000,28.265,-1.728,6.155
2023-04-27 13:37:09.1000,40.486,-0.925,0.682
2023-04-27 13:37:09.2010,46.147,-1.095,1.882
2023-04-27 13:37:09.3020,42.436,-4.546,11.446
2023-04-27 13:37:09.4030,37.88,-2.574,26.578
2023-04-27 13:37:09.5040,38.232,4.238,37.336
2023-04-27 13:37:09.6050,34.739,11.355,43.669
2023-04-27 13:37:09.7060,26.89,18.129,44.008
2023-04-27 13:37:09.8060,16.739,27.868,32.891
2023-04-27 13:37:09.9070,10.084,39.958,16.802
2023-04-27 13:37:10.0080,7.029,48.663,3.841
2023-04-27 13:37:10.1080,7.189,53.498,-6.886
2023-04-27 13:37:10.2090,5.164,58.795,-6.795
2023-04-27 13:37:10.3100,4.314,63.195,-6.628
2023-04-27 13:37:10.4110,3.481,67.165,-8.934
2023-04-27 13:37:10.5130,1.428,65.455,-8.328
2023-04-27 13:37:10.6130,2.435,60.854,-11.076
2023-04-27 13:37:10.7140,4.294,53.433,-15.177
2023-04-27 13:37:10.8150,5.396,46.333,-18.221
2023-04-27 13:37:10.9150,5.267,40.852,-15.184
2023-04-27 13:37:11.0160,5.516,33.617,-13.318
2023-04-27 13:37:11.1170,6.018,21.668,-11.111
2023-04-27 13:37:11.2170,6.749,4.394,-4.176
2023-04-27 13:37:11.3180,7.271,-11.417,1.932
2023-04-27 13:37:11.4190,4.403,-22.742,0.209
2023-04-27 13:37:11.5200,0.368,-30.394,-4.528
2023-04-27 13:37:11.6200,0.148,-34.913,-3.4
2023-04-27 13:37:11.7210,1.323,-36.022,0.181
2023-04-27 13:37:11.8220,4.269,-27.689,-0.75
2023-04-27 13:37:11.9220,5.399,-14.458,-2.194
2023-04-27 13:37:12.0230,6.405,2.685,-3.665
2023-04-27 13:37:12.1240,8.743,22.311,-6.154
2023-04-27 13:37:12.2250,10.142,39.117,-12.985
2023-04-27 13:37:12.3260,13.381,51.483,-20.329
2023-04-27 13:37:12.4270,17.564,61.284,-27.998
